feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;feature_25;feature_26;feature_27;feature_28;feature_29;feature_30;feature_31;feature_32;feature_33;feature_34;feature_35;feature_36;Name;semester;attendance_percentage;father_name;father_mobile;reason_for_sem_back;Gender;Target
0;9;11.45;59.72;72.85;1;0;11.06;46.49;73.69;0;1;15.07;42.96;58.14;43.05;43.01;53.63;21.3;24.13;41.57;34.81;54.71;36.38;28.82;71.98;46.61;51.01;28.63;41.83;51.66;32.74;55.64;40.99;45.62;40.97;Vicky Gupta;1;81.0;Sunita Iyer;9362950628;Low attendance;Male;Enrolled
1;0;11.95;34.13;62.34;0;6;7.12;53.13;20.6;1;4;6.69;52.95;61.08;52.57;48.27;45.48;27.82;39.2;43.09;65.86;55.15;23.55;54.86;44.22;39.85;59.18;65.46;63.97;37.41;45.36;54.97;64.63;42.81;47.22;Saanvi Das;1;97.2;Karan Reddy;9868820204;Moved abroad;Female;Graduate
1;0;7.22;62.19;70.34;1;8;11.71;65.05;55.42;0;6;9.42;55.42;73.07;49.46;73.47;10.7;62.33;51.31;45.51;51.38;20.19;46.7;55.36;72.17;42.23;37.87;42.47;63.73;54.93;42.05;57.7;51.46;64.53;39.47;Sai Reddy;6;61.7;Arjun Patel;9507943839;Health problems;Female;Enrolled
0;10;10.43;28.05;54.44;0;4;13.04;50.08;46.48;0;3;6.34;43.69;44.86;37.97;47.58;56.06;78.29;52.62;53.86;48.88;21.22;49.6;50.9;86.95;47.11;54.52;49.48;32.47;67.14;61.28;61.87;36.36;71.04;28.97;Aditya Ghosh;5;71.1;Arun Bose;9488302652;Part-time job;Male;Enrolled
0;10;20.0;35.14;41.51;1;10;12.4;42.45;26.74;0;9;12.27;34.07;57.1;36.21;73.25;38.25;45.17;62.2;31.54;53.41;69.61;25.89;52.77;53.9;61.73;31.45;30.19;57.83;54.45;53.76;55.2;39.8;53.48;54.4;Nikhil Gupta;7;82.0;Priya Thomas;9782560971;Transfer to another college;Male;Graduate
0;3;19.46;57.11;32.13;0;5;14.63;35.38;61.81;1;4;16.63;37.69;64.45;56.19;62.33;78.45;46.32;38.69;36.66;37.76;48.84;55.12;54.15;62.41;50.2;71.8;46.03;90.8;59.39;37.14;33.94;57.24;46.65;60.71;Vicky Singh;4;66.4;Ananya Thomas;9507437181;Academic difficulty;Male;Dropout
0;3;11.71;37.3;27.28;1;9;10.21;62.85;53.21;1;9;7.02;52.6;55.78;36.74;52.31;50.87;32.86;55.37;58.41;66.25;65.81;29.33;35.93;57.73;57.71;57.73;107.79;58.56;67.03;64.31;59.77;45.27;61.38;38.41;Aditya Reddy;6;80.7;Saanvi Dutta;9524806516;Moved abroad;Female;Graduate
0;10;10.06;51.23;84.72;0;10;4.53;60.29;25.81;1;9;10.11;66.33;50.96;33.83;39.27;60.19;39.04;53.25;50.68;40.23;82.16;59.51;19.62;52.8;40.07;62.79;38.11;48.28;57.57;62.99;32.0;44.98;42.88;40.2;Neha Joshi;4;72.2;Sai Roy;9629908599;Health problems;Male;Enrolled
0;10;13.62;31.09;63.77;1;10;20.0;65.49;27.21;1;1;10.06;69.0;39.38;56.66;61.62;36.1;49.11;1.38;34.63;46.21;31.28;74.49;28.55;43.4;51.96;71.62;28.46;67.45;50.15;35.28;56.93;52.99;41.0;51.05;Aditya Nair;7;96.2;Ankit Thomas;9668132202;Academic difficulty;Male;Dropout
0;8;12.45;59.93;73.79;0;10;7.05;82.0;20.72;1;10;11.39;58.82;54.21;40.66;46.88;42.6;41.16;62.74;55.36;39.61;63.49;54.61;62.19;59.44;37.57;41.6;61.21;59.16;49.69;51.76;69.16;41.13;58.21;46.97;Kavya Mehta;3;70.4;Sakshi Sharma;9875340444;Disciplinary issues;Female;Enrolled
1;0;16.4;62.38;62.2;0;5;17.22;50.32;60.23;1;3;10.76;54.86;48.05;51.45;58.93;37.73;81.39;34.91;31.79;67.37;61.87;59.36;59.43;49.82;36.54;51.14;39.84;64.63;47.79;37.62;45.18;56.19;41.54;37.67;Deepak Bose;4;72.4;Sai Joshi;9918739736;Family responsibilities;Male;Dropout
1;8;12.98;42.4;42.93;0;4;12.93;28.28;28.89;1;3;9.13;46.8;54.66;72.13;62.86;47.6;49.71;34.96;49.72;45.67;54.84;37.59;57.79;72.99;48.37;56.03;60.35;43.98;53.36;50.19;51.47;38.4;50.37;57.47;Vivaan Das;2;77.9;Aditya Dutta;9976198296;Health problems;Male;Graduate
1;1;15.84;82.3;38.49;0;3;15.49;52.75;82.85;0;5;8.77;37.4;41.01;18.14;42.11;38.61;52.26;55.13;78.14;64.26;41.35;36.52;57.38;30.2;77.47;67.69;42.96;24.3;70.31;48.28;68.57;26.08;41.01;50.08;Ayesha Ghosh;4;92.4;Ramesh Jain;9528414718;Moved abroad;Female;Graduate
